"t,y_30000,y_40000,y_50000",,
"3.970633,0.0019965,-0.000461,-0.0070283",,
"4.004,0.0088578,0.0079731,0.0026519",,
"4.037367,0.0141854,0.0154643,0.013542",,
"4.070733,0.0178019,0.0209436,0.0216649",,
"4.1041,0.0210058,0.0251832,0.0274721",,
"4.137467,0.0242496,0.029166,0.0328632",,
"4.170833,0.0265052,0.0325279,0.0373685",,
"4.2042,0.0269128,0.0332493,0.0395223",,
"4.237567,0.0269601,0.0332011,0.040169",,
"4.270933,0.0268381,0.0331722,0.0404341",,
"4.3043,0.0253945,0.0318505,0.0392908",,
"4.337667,0.0224984,0.0285109,0.0362093",,
"4.371033,0.0194568,0.0246075,0.0319471",,
"4.4044,0.016103,0.0200279,0.026843",,
"4.437767,0.0114521,0.0138601,0.0198441",,
"4.471133,0.0055864,0.0064207,0.0111098",,
"4.5045,-0.000586,-0.0014149,0.0016794",,
"4.537867,-0.0068693,-0.0094865,-0.008004",,
"4.571233,-0.0116272,-0.01669,-0.0163958",,
"4.6046,-0.0151151,-0.0220274,-0.0234206",,
"4.637967,-0.0186959,-0.0267197,-0.0300563",,
"4.671333,-0.0215706,-0.0305802,-0.0348397",,
"4.7047,-0.022686,-0.0325109,-0.0380335",,
"4.738067,-0.023295,-0.033759,-0.0405893",,
"4.771433,-0.023925,-0.0344363,-0.0418022",,
"4.8048,-0.0234221,-0.0334345,-0.0409689",,
"4.838167,-0.0212824,-0.0309611,-0.0391013",,
"4.871533,-0.0192868,-0.0280851,-0.0363691",,
"4.9049,-0.0166742,-0.0244389,-0.0316259",,
"4.938267,-0.0120691,-0.0187777,-0.0255154",,
"4.971633,-0.0071952,-0.0122286,-0.0184435",,
"5.005,-0.0020613,-0.0050127,-0.0104396",,
"5.038367,0.0042368,0.0031501,-0.0009588",,
"5.071733,0.0105093,0.0112604,0.0091296",,
"5.1051,0.0151691,0.0175337,0.017925",,
"5.138467,0.0185038,0.0220687,0.0243867",,
"5.171833,0.0215589,0.0258406,0.0300982",,
"5.2052,0.0244035,0.0296622,0.0351607",,
"5.238567,0.0255892,0.0318147,0.038099",,
"5.271933,0.0258132,0.031805,0.0392574",,
"5.3053,0.0258654,0.0318082,0.0399092",,
"5.338667,0.0250032,0.0312393,0.0396888",,
"5.372033,0.0227759,0.0285251,0.0370347",,
"5.4054,0.0201037,0.0244489,0.0335212",,
"5.438767,0.0170864,0.0202859,0.029192",,
"5.472133,0.0127966,0.0148942,0.0228589",,
"5.5055,0.0072957,0.007975,0.0152725",,
"5.538867,0.0013968,-3.32E-05,0.0065856",,
"5.572233,-0.0046007,-0.0082565,-0.0034092",,
"5.6056,-0.0100343,-0.0161238,-0.0127387",,
"5.638967,-0.0139078,-0.0212874,-0.0198071",,
"5.672333,-0.0173618,-0.0263824,-0.0267774",,
"5.7057,-0.0205872,-0.0306711,-0.0325502",,
"5.739067,-0.022378,-0.0333038,-0.0359615",,
"5.772433,-0.0228124,-0.0346167,-0.0388219",,
"5.8058,-0.0235317,-0.0355984,-0.0408709",,
"5.839167,-0.0234231,-0.0352169,-0.0405134",,
"5.872533,-0.0218136,-0.033411,-0.0388661",,
"5.9059,-0.0196749,-0.0306891,-0.0367773",,
"5.939267,-0.0171625,-0.0272452,-0.0326969",,
"5.972633,-0.0128602,-0.022191,-0.0270558",,
"6.006,-0.0081728,-0.0155728,-0.0202746",,
"6.039367,-0.0031872,-0.0084745,-0.012709",,
"6.072733,0.0026265,-0.0007845,-0.0030425",,
"6.1061,0.009496,0.00788,0.0072003",,
"6.139467,0.0140154,0.0152533,0.0162134",,
